OSEBuildingID,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),NumberofBuildings,TotalGHGEmissions,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
42067,54452.0,17186.0,2010.0,6.0,0.0,184980.0,0.5,146.26999999999998,90.0,0.6749685489722681,0.3250450058058381,0.0,0.0,6658168.75
42069,0.0,0.0,1993.0,1.0,0.0,26263.0,1.0,12.05,59.0,1.000021594654162,0.0,0.0,0.0,1727858.1875
42070,4281.5,3610.5,2010.0,4.0,0.0,88449.0,1.0,59.925,0.0,0.8044223906701804,0.19559402642110613,0.0,0.0,3746096.0
42074,0.0,0.0,2011.0,3.0,0.0,31930.0,1.0,5.605,89.0,1.0000193527703025,0.0,0.0,0.0,804148.4375
42076,794.0,404.0,2011.0,4.0,0.0,138121.0,1.0,132.665,0.0,0.47418225847499623,0.5258272763592848,0.0,0.0,4247583.0
42087,0.0,0.0,2011.0,6.0,0.0,39636.0,1.0,11.89,47.0,0.9987830813962895,0.001237529317632451,0.0,0.0,1692081.125
42168,0.0,0.0,2011.0,3.0,0.0,29646.0,1.0,5.234999999999999,85.5,1.0000201135243962,0.0,0.0,0.0,750427.90625
43247,0.0,0.0,1927.0,3.0,0.0,29656.0,1.0,21.54,88.0,0.6053141891010551,0.3946980143897425,0.0,0.0,855288.0625
43867,8700.0,8500.0,1927.0,5.0,8500.0,30993.0,1.0,176.925,2.0,0.30704000683226546,0.6929663764054403,0.0,0.0,4543149.0
43948,0.0,0.0,1906.0,2.0,0.0,39212.0,1.0,2.945,0.0,1.000038564230218,0.0,0.0,0.0,422691.69922
44187,18913.0,14975.0,2011.0,5.0,9912.0,130342.0,1.0,90.505,94.0,0.7063509563556895,0.2936636681200826,0.0,0.0,4410414.5
44267,0.0,0.0,1947.0,3.0,0.0,38264.0,1.0,58.144999999999996,46.5,0.427444801462484,0.572563991299544,0.0,0.0,1741489.1875
45287,9003.0,0.0,1968.0,1.0,0.0,21400.0,0.5,150.1,0.0,0.5085800084423232,0.4914307061683915,0.0,0.0,5063179.75
46427,20984.0,0.0,2012.0,6.0,13835.5,88860.5,1.0,46.72,98.0,0.7569064695934611,0.24310924791340363,0.0,0.0,2568791.625
49467,5866.0,4596.0,2012.0,6.0,5236.5,52258.5,1.0,32.135000000000005,97.5,0.6490085656196174,0.35100531181238,0.0,0.0,1387144.25
49687,30000.0,0.0,2003.0,4.0,0.0,33997.0,1.0,97.035,23.0,0.9185464207213998,0.0814727654732098,0.0,0.0,9042960.5
49693,0.0,0.0,2010.0,6.0,68530.5,150048.5,1.0,361.705,93.0,0.18646940342740478,0.8135344110619206,0.0,0.0,8126907.0
49697,29878.0,8421.0,1902.0,6.0,0.0,74211.0,1.0,9.58,97.0,1.000021146445685,0.0,0.0,0.0,1374344.4375
49698,49395.0,2620.0,2012.0,6.0,22717.5,151936.5,1.0,36.370000000000005,72.0,0.9389266582728388,0.06109319457248782,0.0,0.0,3714832.75
49699,0.0,0.0,1988.0,2.0,0.0,45700.0,1.0,14.465,99.0,0.9456196227138534,0.054400121908706925,0.0,0.0,1525731.875
49704,48907.0,0.0,2012.0,6.0,24453.5,153074.5,1.0,98.555,99.5,0.6387261987748027,0.36128687453793634,0.0,0.0,4168798.0
49706,40584.0,0.0,2011.0,6.0,24551.5,129215.5,1.0,94.51,95.5,0.6637367759499685,0.33627684582312123,0.0,0.0,4202830.25
49707,11512.0,0.0,2012.0,6.0,5756.0,38006.0,1.0,4.6,97.0,1.0000203298699102,0.0,0.0,0.0,659436.09375
49710,107368.0,13772.0,2012.0,7.0,60007.5,164569.5,1.0,172.08999999999997,100.0,0.673120403111247,0.326893405316142,0.0,0.0,7803205.75
49712,0.0,0.0,2012.0,6.0,22541.5,134803.5,1.0,74.27499999999999,77.0,0.9801291928281533,0.01988642081759953,0.0,0.0,9414841.5
49714,31709.0,0.0,2012.0,6.0,19386.5,75546.5,1.0,59.695,100.0,0.6677463983544941,0.3322677045938533,0.0,0.0,2676745.25
49715,0.0,0.0,2012.0,5.0,0.0,136758.0,1.0,175.46,90.0,0.5450868016893035,0.45491327798730513,0.0,0.0,6275367.5
49716,7000.0,0.0,2012.0,7.0,0.0,192259.0,1.0,191.97,72.0,0.6765497397981687,0.3234502602018314,0.0,0.0,8767617.0
49717,8050.0,0.0,2012.0,4.0,4310.5,38899.5,1.0,40.205,59.0,0.6526637862755358,0.34734961870689246,0.0,0.0,1748417.0625
49718,0.0,0.0,2012.0,2.0,0.0,137138.0,1.5,37.894999999999996,0.0,1.0000205120922003,0.0,0.0,0.0,5435818.0
49719,24942.0,0.0,2012.0,4.0,0.0,74964.0,1.0,72.865,91.0,0.40977905929529146,0.5902293312516953,0.0,0.0,2130373.625
